StudentID,Math,Physics,Chemistry,English,Attendance
1209,80,76,100.0,58.0,72
1210,29,59,79.0,77.0,57
1211,29,31,98.0,96.0,87
1212,25,77,93.0,44.0,75
1213,27,77,33.0,63.0,100
1214,25,51,76.0,76.0,88
1215,67,56,69.0,72.0,76
1216,100,62,28.0,62.0,61
1217,52,97,39.0,62.0,60
1218,64,59,70.0,36.0,93
1219,91,68,62.0,36.0,97
1220,87,31,,85.0,78
1221,47,63,82.0,44.0,69
1222,57,32,84.0,89.0,88
1223,99,36,96.0,68.0,64
1224,99,41,76.0,25.0,81
1225,76,98,56.0,77.0,69
1226,80,44,67.0,93.0,83
1227,68,84,87.0,73.0,65
1228,37,52,26.0,81.0,78
1229,86,35,56.0,30.0,65
1230,38,75,31.0,48.0,83
1231,73,26,70.0,84.0,78
1232,67,48,23.0,60.0,61
1233,38,37,24.0,56.0,85
1234,80,77,,20.0,60
1235,39,90,97.0,87.0,82
1236,58,35,26.0,50.0,81
1237,28,34,,96.0,89
1238,50,38,57.0,74.0,55
1239,73,43,30.0,87.0,78
1240,84,84,90.0,22.0,79
1241,69,67,52.0,22.0,77
1242,100,33,94.0,62.0,63
1243,42,79,81.0,100.0,66
1244,78,24,57.0,45.0,57
1245,60,59,85.0,70.0,89
1246,44,56,65.0,26.0,96
1247,67,75,71.0,76.0,79
1248,83,67,86.0,54.0,60
1249,97,43,89.0,57.0,75
1250,57,59,77.0,97.0,100
1251,64,77,25.0,65.0,94
1252,27,29,71.0,66.0,87
1253,23,38,97.0,76.0,57
1254,66,66,69.0,92.0,57
1255,67,67,76.0,29.0,91
1256,60,55,51.0,34.0,56
1257,69,91,35.0,53.0,71
1258,98,56,82.0,45.0,62
1259,42,76,31.0,60.0,97
1260,89,57,58.0,40.0,100
1261,42,66,85.0,48.0,62
1262,50,83,23.0,66.0,90
1263,90,36,98.0,31.0,59
1264,81,87,72.0,72.0,91
1265,29,77,79.0,86.0,77
1266,90,95,43.0,36.0,82
1267,35,86,39.0,58.0,65
1268,48,64,86.0,56.0,60
1269,90,55,36.0,100.0,74
1270,41,95,94.0,39.0,65
1271,97,63,92.0,25.0,56
1272,93,53,46.0,93.0,81
1273,100,89,57.0,58.0,85
1274,71,58,78.0,29.0,99
1275,81,79,46.0,63.0,93
1276,60,64,71.0,36.0,78
1277,50,79,35.0,54.0,83
1278,57,69,98.0,73.0,70
1279,61,93,60.0,44.0,65
1280,83,59,83.0,22.0,60
1281,50,47,94.0,65.0,58
1282,80,56,88.0,21.0,61
1283,66,71,66.0,25.0,80
1284,66,90,56.0,29.0,79
1285,55,99,98.0,35.0,63
1286,63,91,66.0,38.0,67
1287,25,25,24.0,37.0,100
1288,78,39,97.0,85.0,63
1289,40,70,98.0,58.0,92
1290,88,82,92.0,58.0,85
1291,34,73,94.0,59.0,99
1292,53,94,93.0,49.0,58
1293,100,99,68.0,38.0,98
1294,34,44,22.0,76.0,75
1295,46,72,84.0,98.0,85
1296,27,37,86.0,46.0,90
1297,87,68,60.0,42.0,84
1298,65,53,98.0,81.0,67
1299,58,48,58.0,56.0,100
1300,60,81,64.0,91.0,72
1301,89,68,70.0,64.0,64
1302,30,64,76.0,52.0,85
1303,54,91,54.0,37.0,61
1304,51,26,87.0,48.0,95
1305,62,80,32.0,37.0,55
1306,40,72,80.0,81.0,96
1307,61,56,27.0,31.0,96
1308,24,42,73.0,42.0,57
1309,83,43,57.0,24.0,55
1310,62,56,78.0,89.0,88
1311,84,79,54.0,44.0,62
1312,52,43,21.0,63.0,73
1313,42,98,71.0,74.0,87
1314,32,43,37.0,,75
1315,69,50,77.0,54.0,76
1316,21,53,66.0,50.0,58
1317,40,71,84.0,59.0,99
1318,57,67,98.0,48.0,69
1319,78,97,67.0,73.0,99
1320,88,47,51.0,96.0,60
1321,66,29,92.0,34.0,58
1322,45,93,88.0,39.0,65
1323,34,46,94.0,82.0,60
1324,27,78,36.0,85.0,81
1325,79,59,22.0,70.0,71
1326,94,29,25.0,74.0,77
1327,27,28,80.0,24.0,73
1328,73,67,68.0,77.0,79
1329,89,37,64.0,35.0,66
1330,36,48,20.0,22.0,74
1331,74,88,68.0,49.0,70
1332,44,34,24.0,73.0,94
1333,22,50,46.0,28.0,61
1334,26,51,25.0,71.0,83
1335,27,37,84.0,57.0,69
1336,60,93,96.0,61.0,70
1337,86,48,72.0,58.0,72
1338,42,100,74.0,91.0,86
1339,68,87,60.0,73.0,81
1340,88,80,50.0,48.0,74
1341,79,27,91.0,72.0,81
1342,51,52,46.0,62.0,96
1343,67,31,88.0,44.0,58
1344,97,25,29.0,44.0,92
1345,81,46,62.0,58.0,55
1346,35,81,51.0,97.0,100
1347,90,61,56.0,68.0,84
1348,53,66,85.0,83.0,84
1349,80,60,46.0,67.0,75
1350,48,38,22.0,53.0,90
1351,73,57,39.0,45.0,76
1352,51,83,90.0,63.0,71
1353,82,78,41.0,65.0,65
1354,43,89,27.0,87.0,57
1355,26,20,72.0,37.0,95
1356,21,47,84.0,78.0,78
1357,98,81,82.0,22.0,55
1358,22,87,,88.0,73
1359,75,42,33.0,32.0,88
1360,87,52,65.0,54.0,80
1361,78,92,51.0,48.0,74
1362,24,31,71.0,68.0,79
1363,21,41,30.0,83.0,82
1364,32,87,25.0,49.0,68
1365,92,80,54.0,25.0,59
1366,89,92,,42.0,75
1367,38,70,29.0,58.0,65
1368,69,89,62.0,69.0,63
1369,30,84,64.0,26.0,61
1370,63,97,98.0,96.0,80
1371,54,77,82.0,49.0,77
1372,43,94,68.0,30.0,94
1373,29,30,54.0,39.0,79
1374,69,60,,33.0,60
1375,66,54,33.0,36.0,60
1290,88,82,92.0,58.0,85
1376,91,85,72.0,33.0,56
1377,96,96,61.0,69.0,55
1378,30,91,51.0,93.0,88
1379,37,54,58.0,54.0,86
1380,55,73,58.0,81.0,59
1381,100,83,96.0,98.0,67
1382,20,70,62.0,99.0,79
1383,62,75,96.0,37.0,74
1384,45,81,60.0,42.0,80
1385,82,93,51.0,61.0,79
1386,66,34,92.0,45.0,92
1387,90,23,79.0,46.0,83
1388,28,72,83.0,37.0,95
1389,39,74,68.0,29.0,83
1390,71,88,84.0,73.0,89
1391,88,96,30.0,33.0,70
1392,98,25,92.0,71.0,76
1393,21,32,53.0,48.0,87
1394,93,48,77.0,67.0,80
1395,84,39,64.0,23.0,85
1396,30,34,38.0,64.0,74
1397,86,81,64.0,80.0,61
1398,60,28,58.0,25.0,100
1399,33,41,51.0,86.0,66
1400,74,79,49.0,71.0,95
1401,75,70,23.0,98.0,67
1402,20,47,46.0,55.0,100
1403,33,88,43.0,66.0,75
1404,82,87,60.0,96.0,79
1405,64,65,78.0,99.0,66
1406,58,98,95.0,30.0,98
1407,59,34,43.0,67.0,99
1408,96,37,93.0,69.0,82
1409,42,91,41.0,82.0,73
1410,77,99,26.0,65.0,55
1411,69,91,84.0,83.0,81
1412,76,82,41.0,30.0,91
1413,57,24,55.0,48.0,89
1414,92,83,90.0,85.0,62
1415,89,66,89.0,25.0,83
1416,33,51,58.0,24.0,83
1417,31,76,35.0,50.0,68
1418,64,98,100.0,74.0,65
1419,46,27,92.0,64.0,89
1420,61,57,57.0,93.0,72
1421,32,37,72.0,27.0,72
1422,36,51,38.0,61.0,70
1423,82,38,93.0,100.0,72
1424,29,31,71.0,85.0,72
1425,78,82,61.0,94.0,55
1426,31,78,65.0,28.0,89
1427,47,83,54.0,61.0,73
1428,92,82,63.0,26.0,57
1429,78,22,35.0,40.0,83
1430,74,45,36.0,58.0,65
1431,31,66,52.0,30.0,78
1432,26,70,100.0,59.0,99
1433,31,32,20.0,47.0,85
1434,86,76,21.0,21.0,99
1435,74,36,81.0,29.0,69
1436,33,33,60.0,67.0,74
1437,37,38,,87.0,91
1438,76,64,47.0,100.0,64
1439,76,47,31.0,32.0,63
1440,69,64,74.0,60.0,63
1441,51,90,96.0,96.0,93
1442,23,58,46.0,86.0,93
1443,57,26,50.0,83.0,79
1444,96,29,87.0,21.0,78
1445,92,73,66.0,89.0,98
1446,29,22,95.0,28.0,55
1447,27,70,84.0,56.0,95
1448,74,71,30.0,88.0,89
1449,59,30,85.0,46.0,64
1450,28,59,75.0,50.0,58
1451,34,78,98.0,97.0,58
1452,42,35,,37.0,99
1453,64,86,86.0,53.0,65
1454,54,35,23.0,62.0,82
1455,93,100,29.0,83.0,84
1456,92,41,67.0,40.0,71
1457,34,49,85.0,,57
1458,25,80,66.0,69.0,64
1459,24,90,73.0,48.0,75
1460,60,54,29.0,93.0,78
1461,26,42,48.0,86.0,57
1462,79,56,59.0,,60
1463,45,57,92.0,58.0,94
1464,83,45,,51.0,64
1465,49,89,,21.0,76
1466,59,33,46.0,87.0,70
1467,38,55,31.0,25.0,69
1468,67,78,30.0,94.0,61
1469,70,29,95.0,92.0,58
1470,50,57,53.0,60.0,80
1471,60,77,54.0,49.0,59
1472,94,33,39.0,33.0,65
1473,35,88,65.0,46.0,83
1474,35,31,40.0,58.0,100
1475,61,38,31.0,51.0,77
1476,58,53,42.0,23.0,80
1477,90,51,32.0,79.0,61
1478,21,27,48.0,36.0,67
1479,100,30,94.0,95.0,71
1480,28,45,76.0,36.0,60
1481,62,35,25.0,79.0,58
1482,70,83,23.0,68.0,98
1483,43,55,55.0,77.0,64
1484,51,57,83.0,72.0,90
1485,69,37,73.0,45.0,96
1486,100,89,22.0,68.0,100
1487,82,64,92.0,84.0,75
1488,60,96,48.0,23.0,72
1489,87,65,94.0,49.0,65
1490,54,88,27.0,48.0,91
1491,65,42,42.0,50.0,92
1492,65,95,23.0,65.0,91
1493,44,83,89.0,59.0,66
1494,49,97,48.0,22.0,88
1495,98,45,36.0,63.0,100
1496,61,27,22.0,38.0,92
1497,34,87,66.0,29.0,78
1498,95,32,63.0,58.0,75
1499,75,82,60.0,42.0,100
1500,98,65,48.0,95.0,66
1501,57,36,42.0,20.0,99
1502,92,24,43.0,97.0,75
1503,48,92,33.0,83.0,64
1504,64,60,41.0,31.0,100
1505,62,77,21.0,53.0,68
1506,52,33,20.0,26.0,79
1507,41,72,83.0,68.0,77
1508,81,93,48.0,40.0,83
1509,57,22,60.0,53.0,61
1510,68,40,29.0,90.0,60
1511,81,23,75.0,41.0,93
1512,32,62,46.0,44.0,81
1513,89,53,56.0,58.0,70
1514,90,82,,26.0,78
1515,100,96,81.0,45.0,61
1516,57,30,80.0,34.0,74
1517,53,31,89.0,69.0,66
1518,43,77,25.0,53.0,83
1519,54,92,27.0,39.0,99
1520,64,89,72.0,95.0,69
1521,86,73,88.0,80.0,91
1522,30,70,24.0,84.0,91
1523,99,38,35.0,77.0,66
1524,47,44,36.0,25.0,82
1525,45,100,38.0,96.0,71
1526,28,31,69.0,91.0,80
1527,86,78,21.0,99.0,92
1528,73,39,38.0,92.0,92
1529,32,33,92.0,32.0,73
1530,72,53,69.0,82.0,91
1531,55,71,38.0,99.0,93
1532,70,62,50.0,26.0,85
1533,22,63,58.0,59.0,72
1534,32,49,37.0,58.0,83
1535,73,97,31.0,44.0,83
1536,82,86,67.0,27.0,87
1537,84,71,37.0,87.0,91
1538,45,27,51.0,24.0,84
1539,45,55,67.0,79.0,87
1540,23,50,67.0,82.0,93
1541,80,95,90.0,64.0,77
1542,31,56,23.0,69.0,58
1543,47,48,48.0,46.0,72
1544,21,80,36.0,42.0,93
1545,97,59,55.0,74.0,79
1546,47,79,58.0,86.0,94
1547,85,67,91.0,96.0,93
1548,81,28,63.0,55.0,95
1549,58,44,39.0,86.0,70
1550,96,71,60.0,37.0,56
1551,53,73,71.0,69.0,57
1552,44,63,48.0,88.0,95
1553,65,84,58.0,41.0,97
1554,32,80,36.0,53.0,90
1555,62,31,48.0,65.0,69
1556,62,67,53.0,94.0,73
1557,26,94,94.0,99.0,59
1558,35,68,87.0,58.0,81
1559,37,45,63.0,72.0,91
1560,38,60,43.0,30.0,86
1561,60,27,20.0,77.0,72
1562,93,40,82.0,31.0,63
1563,71,74,81.0,69.0,55
1564,67,21,,,67
1565,51,48,64.0,59.0,63
1566,59,41,28.0,25.0,74
1567,86,96,87.0,63.0,82
1568,63,82,65.0,44.0,65
1569,71,22,49.0,48.0,63
1570,84,41,35.0,66.0,100
1571,52,88,99.0,26.0,93
1572,22,26,34.0,73.0,83
1573,80,39,46.0,100.0,55
1574,86,54,99.0,97.0,99
1575,33,85,99.0,35.0,73
1576,45,97,45.0,53.0,88
1577,72,57,40.0,25.0,90
1578,81,62,50.0,20.0,55
1579,93,83,39.0,31.0,87
1580,52,49,78.0,57.0,71
1581,42,25,57.0,66.0,98
1582,32,25,21.0,37.0,97
1583,76,99,54.0,31.0,78
1584,71,71,78.0,54.0,79
1585,73,41,34.0,36.0,99
1586,40,33,73.0,95.0,85
1587,43,98,68.0,65.0,94
1588,36,81,82.0,34.0,81
1589,60,21,87.0,93.0,91
1590,63,86,86.0,99.0,61
1591,81,64,69.0,39.0,90
1592,21,40,84.0,80.0,86
1593,82,61,50.0,62.0,72
1594,68,71,50.0,30.0,84
1595,31,83,77.0,60.0,62
1596,22,33,71.0,,57
1597,31,97,99.0,58.0,87
1598,78,63,66.0,26.0,69
1599,99,96,80.0,66.0,100
1600,48,20,63.0,65.0,95
1601,86,67,33.0,25.0,65
1602,72,33,52.0,98.0,67
1603,70,47,78.0,44.0,100
1604,25,95,35.0,77.0,84
1605,37,83,20.0,87.0,58
1606,94,81,85.0,42.0,99
1607,36,33,69.0,96.0,93
1608,69,73,97.0,51.0,72
1609,57,77,37.0,37.0,81
1610,85,58,90.0,60.0,100
1611,47,45,46.0,99.0,100
1612,36,42,84.0,89.0,99
1613,65,91,81.0,94.0,91
1614,88,56,74.0,21.0,88
1615,26,27,45.0,54.0,65
1616,38,27,57.0,46.0,89
1617,33,98,91.0,48.0,96
1618,56,26,68.0,69.0,81
1619,60,90,26.0,21.0,71
1620,76,48,67.0,95.0,89
1621,44,57,77.0,42.0,98
1622,85,35,68.0,25.0,82
1623,40,94,52.0,20.0,76
1624,25,39,61.0,96.0,58
1625,58,82,93.0,90.0,77
1626,87,48,43.0,86.0,59
1627,89,88,71.0,31.0,77
1628,62,62,66.0,57.0,68
1629,80,91,21.0,34.0,97
1630,98,99,51.0,25.0,98
1631,34,69,52.0,89.0,73
1632,67,85,85.0,77.0,86
1633,44,61,85.0,30.0,61
1634,88,88,20.0,100.0,59
1635,47,74,33.0,46.0,100
1636,75,29,39.0,123.0,84
1637,29,26,42.0,52.0,90
1638,53,72,69.0,77.0,95
1639,69,35,88.0,20.0,96
1640,94,25,29.0,65.0,87
1641,58,97,31.0,56.0,83
1642,23,80,40.0,88.0,69
1643,89,57,38.0,58.0,98
1644,67,21,90.0,,64
1645,96,70,88.0,90.0,60
1646,64,47,72.0,85.0,64
1647,52,44,34.0,43.0,97
1648,90,79,90.0,29.0,73
1649,45,94,82.0,62.0,77
1650,32,56,99.0,28.0,67
1651,98,59,94.0,39.0,91
1652,74,41,20.0,60.0,70
1653,75,55,66.0,37.0,98
1654,79,77,65.0,59.0,86
1655,97,30,55.0,37.0,89
1656,100,29,29.0,22.0,87
1657,94,71,95.0,47.0,57
1658,89,80,39.0,66.0,80
1659,57,37,79.0,84.0,87
1660,21,50,98.0,41.0,87
1661,92,92,38.0,81.0,77
1662,49,28,53.0,67.0,69
1663,66,69,80.0,78.0,57
1664,33,86,55.0,53.0,92
1665,68,66,95.0,29.0,88
1666,48,86,71.0,65.0,77
1667,97,20,84.0,37.0,83
1668,55,47,39.0,43.0,65
1669,35,49,73.0,62.0,62
1670,46,95,40.0,72.0,56
1671,95,40,37.0,100.0,87
1672,27,41,53.0,43.0,88
1673,92,22,56.0,30.0,68
1674,81,41,48.0,72.0,93
1675,43,99,85.0,53.0,65
1676,78,96,95.0,28.0,69
1677,22,45,86.0,84.0,98
1678,32,42,80.0,98.0,93
1679,84,35,31.0,81.0,97
1680,20,75,86.0,73.0,78
1681,74,49,81.0,68.0,77
1682,93,32,74.0,37.0,71
1683,30,56,96.0,,81
1684,20,93,,35.0,88
1685,60,72,66.0,33.0,64
1686,53,88,74.0,92.0,78
1687,70,46,72.0,90.0,90
1688,91,81,52.0,59.0,91
1689,37,35,49.0,77.0,99
1690,85,71,63.0,90.0,94
1691,40,69,20.0,31.0,64
1692,31,28,53.0,48.0,78
1693,69,71,98.0,86.0,73
1694,42,83,76.0,21.0,67
1695,86,56,44.0,24.0,93
1696,98,41,24.0,66.0,70
1697,31,55,71.0,65.0,97
1698,86,21,28.0,31.0,90
1699,94,64,64.0,55.0,69
1700,71,93,20.0,53.0,66
1701,29,84,57.0,63.0,62
1702,88,93,52.0,76.0,79
1703,63,78,78.0,95.0,56
1704,68,48,49.0,60.0,81
1705,21,53,51.0,56.0,60
1706,63,29,90.0,42.0,85
1707,93,54,43.0,44.0,86
1708,50,53,46.0,49.0,67
1709,65,39,33.0,35.0,60
1710,98,20,89.0,25.0,85
1711,93,55,82.0,43.0,87
1712,93,36,26.0,87.0,82
1713,84,64,70.0,42.0,84
1714,78,60,21.0,21.0,98
1715,61,66,98.0,53.0,66
1716,80,98,63.0,66.0,66
1717,67,66,71.0,55.0,83
1718,93,49,32.0,54.0,70
1719,45,38,39.0,80.0,55
1720,100,86,88.0,60.0,86
1721,92,26,70.0,32.0,99
1722,52,80,100.0,32.0,83
1723,66,91,,52.0,77
1724,97,45,93.0,93.0,96
1725,56,65,61.0,85.0,86
1726,30,68,98.0,56.0,84
1727,41,63,73.0,100.0,94
1728,29,30,40.0,63.0,69
1729,54,97,70.0,54.0,83
1730,95,86,77.0,72.0,65
1731,50,52,30.0,46.0,65
1732,80,90,26.0,23.0,80
1733,33,53,99.0,39.0,60
1734,59,49,51.0,56.0,83
1735,41,23,24.0,65.0,75
1736,89,54,90.0,76.0,63
1737,42,95,96.0,78.0,95
1738,75,87,88.0,59.0,77
1739,31,76,59.0,66.0,81
1740,20,86,37.0,,73
1741,82,81,58.0,21.0,82
1742,20,90,67.0,44.0,81
1743,51,40,69.0,68.0,69
1744,50,86,98.0,54.0,73
1745,54,72,44.0,28.0,66
1746,78,99,77.0,54.0,99
1747,22,39,26.0,88.0,56
1748,54,36,76.0,,69
1749,47,63,73.0,59.0,86
1750,24,62,30.0,38.0,58
1751,89,80,43.0,44.0,71
1752,35,51,69.0,76.0,70
1753,78,32,86.0,46.0,85
1754,61,40,100.0,25.0,90
1755,58,45,66.0,26.0,97
1756,75,61,21.0,41.0,72
1757,51,21,25.0,94.0,99
1758,67,31,51.0,40.0,86
1759,100,27,27.0,65.0,96
1760,33,36,82.0,49.0,75
1761,64,76,44.0,22.0,99
1762,52,25,82.0,76.0,90
1763,44,92,43.0,89.0,77
1764,96,90,40.0,28.0,88
1765,53,89,66.0,78.0,55
1766,43,22,99.0,66.0,94
1767,88,69,44.0,87.0,98
1768,98,56,61.0,72.0,96
1769,28,25,36.0,42.0,57
1770,32,24,93.0,69.0,97
1771,95,52,26.0,66.0,69
1772,46,82,30.0,79.0,95
1773,73,67,27.0,98.0,72
1774,58,29,47.0,86.0,61
1775,69,44,44.0,87.0,97
1776,42,91,91.0,73.0,61
1777,78,74,33.0,41.0,66
1778,40,88,96.0,76.0,77
1779,61,67,72.0,75.0,75
1780,47,68,90.0,52.0,78
1781,70,20,,56.0,93
1782,58,20,58.0,48.0,68
1783,55,90,85.0,91.0,91
1784,24,78,65.0,39.0,63
1785,51,49,52.0,58.0,60
1786,47,29,61.0,81.0,66
1787,93,32,96.0,58.0,57
1788,30,27,62.0,64.0,82
1789,49,97,21.0,100.0,79
1790,60,89,92.0,39.0,75
1791,26,70,77.0,96.0,91
1792,57,70,38.0,36.0,76
1793,26,90,71.0,53.0,60
1794,36,37,81.0,91.0,67
1795,45,91,98.0,87.0,70
1796,75,61,93.0,31.0,62
1797,64,44,61.0,64.0,93
1798,41,64,98.0,76.0,94
1799,49,45,67.0,39.0,60
1800,99,38,56.0,21.0,76
1801,77,80,22.0,62.0,68
1802,89,86,53.0,90.0,85
1803,22,68,94.0,87.0,57
1804,45,99,54.0,,84
1805,69,54,66.0,33.0,56
1806,69,49,68.0,85.0,100
1807,96,88,31.0,43.0,67
1808,22,25,51.0,87.0,74
1809,40,22,64.0,65.0,77
1810,84,55,27.0,100.0,71
1811,23,91,55.0,48.0,64
1812,37,31,68.0,86.0,98
1813,49,73,50.0,93.0,64
1814,97,62,77.0,89.0,63
1815,89,45,37.0,59.0,99
1816,37,75,38.0,92.0,65
1817,35,43,60.0,38.0,56
1818,72,72,58.0,76.0,95
1819,44,33,36.0,43.0,56
1820,54,97,92.0,98.0,69
1821,23,65,30.0,81.0,63
1822,67,43,69.0,82.0,85
1823,24,72,21.0,54.0,81
